eventID,occurrenceID,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonRank,lifeStage,vernacularName,identificationQualifier,kingdom,phylum,class,order,family,genus,specificEpithet,basisOfRecord,occurrenceStatus
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-9,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-8,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-7,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-6,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-5,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-4,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-3,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-2,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-12,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-11,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-10,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-1,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-25-Trawl,IYS2022-Shimada-4-25-Trawl-8-2,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-25-Trawl,IYS2022-Shimada-4-25-Trawl-8-1,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-24-Trawl,IYS2022-Shimada-4-24-Trawl-12-9,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-24-Trawl,IYS2022-Shimada-4-24-Trawl-12-8,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-24-Trawl,IYS2022-Shimada-4-24-Trawl-12-7,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-24-Trawl,IYS2022-Shimada-4-24-Trawl-12-6,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-24-Trawl,IYS2022-Shimada-4-24-Trawl-12-5,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-24-Trawl,IYS2022-Shimada-4-24-Trawl-12-4,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-24-Trawl,IYS2022-Shimada-4-24-Trawl-12-3,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-24-Trawl,IYS2022-Shimada-4-24-Trawl-12-2,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-24-Trawl,IYS2022-Shimada-4-24-Trawl-12-10,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-24-Trawl,IYS2022-Shimada-4-24-Trawl-12-1,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Shimada-4-23-Trawl,IYS2022-Shimada-4-23-Trawl-6-4,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
