eventID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementID,occurrenceID,measurementMethod
IYS2022-Shimada-4-1-Trawl,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,R/V Bell M. Shimada,http://vocab.nerc.ac.uk/collection/C17/current/3322/,,,,,
IYS2022-Shimada-4-2-Trawl,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,R/V Bell M. Shimada,http://vocab.nerc.ac.uk/collection/C17/current/3322/,,,,,
IYS2022-Shimada-4-3-Trawl,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,R/V Bell M. Shimada,http://vocab.nerc.ac.uk/collection/C17/current/3322/,,,,,
IYS2022-Shimada-4-10-Trawl,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,R/V Bell M. Shimada,http://vocab.nerc.ac.uk/collection/C17/current/3322/,,,,,
IYS2022-Shimada-4-11-Trawl,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,R/V Bell M. Shimada,http://vocab.nerc.ac.uk/collection/C17/current/3322/,,,,,
IYS2022-Shimada-4-12-Trawl,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,R/V Bell M. Shimada,http://vocab.nerc.ac.uk/collection/C17/current/3322/,,,,,
IYS2022-Shimada-4-13-Trawl,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,R/V Bell M. Shimada,http://vocab.nerc.ac.uk/collection/C17/current/3322/,,,,,
IYS2022-Shimada-4-14-Trawl,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,R/V Bell M. Shimada,http://vocab.nerc.ac.uk/collection/C17/current/3322/,,,,,
IYS2022-Shimada-4-15-Trawl,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,R/V Bell M. Shimada,http://vocab.nerc.ac.uk/collection/C17/current/3322/,,,,,
IYS2022-Shimada-4-16-Trawl,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,R/V Bell M. Shimada,http://vocab.nerc.ac.uk/collection/C17/current/3322/,,,,,
IYS2022-Shimada-4-17-Trawl,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,R/V Bell M. Shimada,http://vocab.nerc.ac.uk/collection/C17/current/3322/,,,,,
