eventID,occurrenceID,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonRank,lifeStage,vernacularName,individualCount,kingdom,phylum,class,order,family,genus,specificEpithet,dateIdentified,identifiedBy,Comments,basisOfRecord,occurrenceStatus,identificationQualifier
IYS2022-Shimada-4-1-Trawl,IYS2022-Shimada-4-1-Trawl-1,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,,Aequorea sp.,0,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,,2022-02-05,Jim Murphy,,HumanObservation,present,
IYS2022-Shimada-4-1-Trawl,IYS2022-Shimada-4-1-Trawl-2,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",accepted,Genus,,Aurelia sp.,7,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,,2022-02-05,Jim Murphy,,HumanObservation,present,
IYS2022-Shimada-4-1-Trawl,IYS2022-Shimada-4-1-Trawl-2-1,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",accepted,Genus,None,moon jelly,,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,,,,,HumanObservation,present,sp. indet
IYS2022-Shimada-4-1-Trawl,IYS2022-Shimada-4-1-Trawl-2-2,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",accepted,Genus,None,moon jelly,,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,,,,,HumanObservation,present,sp. indet
IYS2022-Shimada-4-1-Trawl,IYS2022-Shimada-4-1-Trawl-2-3,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",accepted,Genus,None,moon jelly,,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,,,,,HumanObservation,present,sp. indet
IYS2022-Shimada-4-1-Trawl,IYS2022-Shimada-4-1-Trawl-2-4,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",accepted,Genus,None,moon jelly,,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,,,,,HumanObservation,present,sp. indet
IYS2022-Shimada-4-1-Trawl,IYS2022-Shimada-4-1-Trawl-2-5,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",accepted,Genus,None,moon jelly,,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,,,,,HumanObservation,present,sp. indet
IYS2022-Shimada-4-1-Trawl,IYS2022-Shimada-4-1-Trawl-2-6,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",accepted,Genus,None,moon jelly,,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,,,,,HumanObservation,present,sp. indet
IYS2022-Shimada-4-1-Trawl,IYS2022-Shimada-4-1-Trawl-2-7,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",accepted,Genus,None,moon jelly,,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,,,,,HumanObservation,present,sp. indet
IYS2022-Shimada-4-1-Trawl,IYS2022-Shimada-4-1-Trawl-3,Anotopterus nikparini,urn:lsid:marinespecies.org:taxname:272040,"Kukuev, 1998",accepted,Species,,North Pacific Daggertooth,1,Animalia,Chordata,Actinopteri,Aulopiformes,Anotopteridae,Anotopterus,nikparini,2022-02-05,Jim Murphy,,HumanObservation,present,
IYS2022-Shimada-4-1-Trawl,IYS2022-Shimada-4-1-Trawl-3-1,Anotopterus nikparini,urn:lsid:marinespecies.org:taxname:272040,"Kukuev, 1998",accepted,Species,Juvenile,North Pacific Daggertooth,,Animalia,Chordata,Actinopteri,Aulopiformes,Anotopteridae,Anotopterus,nikparini,,,,HumanObservation,present,
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-1,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,,Aequorea sp.,0,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,,2022-02-10,Jim Murphy,,HumanObservation,present,
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-2,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",accepted,Genus,,Aurelia sp.,8,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,,2022-02-10,Jim Murphy,,HumanObservation,present,
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-2-1,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",accepted,Genus,None,moon jelly,,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,,,,,HumanObservation,present,sp. indet
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-2-2,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",accepted,Genus,None,moon jelly,,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,,,,,HumanObservation,present,sp. indet
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-3,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,Immature,Chum salmon,3,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,keta,2022-02-10,Jim Murphy,,HumanObservation,present,
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-3-1,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,Immature,Chum salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,keta,,,,HumanObservation,present,
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-3-2,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,Immature,Chum salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,keta,,,,HumanObservation,present,
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-3-3,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,Immature,Chum salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,keta,,,,HumanObservation,present,
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-4,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,"Brandt, 1835",accepted,Species,,Phacellophora camtchatica,4,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,camtschatica,2022-02-10,Jim Murphy,,HumanObservation,present,
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-4-1,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,"Brandt, 1835",accepted,Species,None,Fried egg jellyfish,,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,camtschatica,,,,HumanObservation,present,
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,12,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,2022-02-10,Jim Murphy,,HumanObservation,present,
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-1,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,,,,HumanObservation,present,
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-2,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,,,,HumanObservation,present,
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-3,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,,,,HumanObservation,present,
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-4,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,,,,HumanObservation,present,
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-5,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,,,,HumanObservation,present,
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-6,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,,,,HumanObservation,present,
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-7,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,,,,HumanObservation,present,
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-8,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,,,,HumanObservation,present,
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-9,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,,,,HumanObservation,present,
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-10,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,,,,HumanObservation,present,
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-11,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,,,,HumanObservation,present,
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-5-12,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,Immature,Sockeye salmon,,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,nerka,,,,HumanObservation,present,
IYS2022-Shimada-4-10-Trawl,IYS2022-Shimada-4-10-Trawl-1,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,,Aequorea sp.,0,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,,2022-02-15,Alicia Billings,,HumanObservation,present,
IYS2022-Shimada-4-10-Trawl,IYS2022-Shimada-4-10-Trawl-2,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,"Brandt, 1835",accepted,Species,,Phacellophora camtchatica,3,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,camtschatica,2022-02-15,Alicia Billings,,HumanObservation,present,
