eventID,resourceRelationshipID,resourceID,relationshipOfResource,relatedResourceID
IYS2022-Shimada-4-1-Trawl,IYS2022-Shimada-4-1-Trawl-1-rr-001,IYS2022-Shimada-4-1-Trawl-2-1,is a subset of,IYS2022-Shimada-4-1-Trawl-1
IYS2022-Shimada-4-1-Trawl,IYS2022-Shimada-4-1-Trawl-1-rr-002,IYS2022-Shimada-4-1-Trawl-2-2,is a subset of,IYS2022-Shimada-4-1-Trawl-1
IYS2022-Shimada-4-1-Trawl,IYS2022-Shimada-4-1-Trawl-1-rr-003,IYS2022-Shimada-4-1-Trawl-2-3,is a subset of,IYS2022-Shimada-4-1-Trawl-1
IYS2022-Shimada-4-1-Trawl,IYS2022-Shimada-4-1-Trawl-1-rr-004,IYS2022-Shimada-4-1-Trawl-2-4,is a subset of,IYS2022-Shimada-4-1-Trawl-1
IYS2022-Shimada-4-1-Trawl,IYS2022-Shimada-4-1-Trawl-1-rr-005,IYS2022-Shimada-4-1-Trawl-2-5,is a subset of,IYS2022-Shimada-4-1-Trawl-1
IYS2022-Shimada-4-1-Trawl,IYS2022-Shimada-4-1-Trawl-1-rr-006,IYS2022-Shimada-4-1-Trawl-2-6,is a subset of,IYS2022-Shimada-4-1-Trawl-1
IYS2022-Shimada-4-1-Trawl,IYS2022-Shimada-4-1-Trawl-1-rr-007,IYS2022-Shimada-4-1-Trawl-2-7,is a subset of,IYS2022-Shimada-4-1-Trawl-1
IYS2022-Shimada-4-1-Trawl,IYS2022-Shimada-4-1-Trawl-2-7-rr-008,IYS2022-Shimada-4-1-Trawl-3-1,is a subset of,IYS2022-Shimada-4-1-Trawl-2-7
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-1-Trawl-3-1-rr-009,IYS2022-Shimada-4-3-Trawl-2-1,is a subset of,IYS2022-Shimada-4-1-Trawl-3-1
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-1-Trawl-3-1-rr-010,IYS2022-Shimada-4-3-Trawl-2-2,is a subset of,IYS2022-Shimada-4-1-Trawl-3-1
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-2-1-rr-011,IYS2022-Shimada-4-3-Trawl-3-1,is a subset of,IYS2022-Shimada-4-3-Trawl-2-1
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-2-1-rr-012,IYS2022-Shimada-4-3-Trawl-3-2,is a subset of,IYS2022-Shimada-4-3-Trawl-2-1
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-2-1-rr-013,IYS2022-Shimada-4-3-Trawl-3-3,is a subset of,IYS2022-Shimada-4-3-Trawl-2-1
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-3-2-rr-014,IYS2022-Shimada-4-3-Trawl-4-1,is a subset of,IYS2022-Shimada-4-3-Trawl-3-2
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-4-rr-015,IYS2022-Shimada-4-3-Trawl-5-1,is a subset of,IYS2022-Shimada-4-3-Trawl-4
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-4-rr-016,IYS2022-Shimada-4-3-Trawl-5-2,is a subset of,IYS2022-Shimada-4-3-Trawl-4
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-4-rr-017,IYS2022-Shimada-4-3-Trawl-5-3,is a subset of,IYS2022-Shimada-4-3-Trawl-4
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-4-rr-018,IYS2022-Shimada-4-3-Trawl-5-4,is a subset of,IYS2022-Shimada-4-3-Trawl-4
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-4-rr-019,IYS2022-Shimada-4-3-Trawl-5-5,is a subset of,IYS2022-Shimada-4-3-Trawl-4
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-4-rr-020,IYS2022-Shimada-4-3-Trawl-5-6,is a subset of,IYS2022-Shimada-4-3-Trawl-4
